time,index,pred,label,acc,f1,num_instruments
4315.865278244019,0_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.9682731628418,0_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
22.37224578857422,1_0,[2],[2],1.0,1.0,1.0
42.53411293029785,1_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.738033294677734,2_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
40.9090518951416,2_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.42134094238281,3_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.484832763671875,3_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.17171669006348,4_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.756391525268555,4_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
22.011756896972656,5_0,[2],[2],1.0,1.0,1.0
22.38154411315918,5_1,[2],[2],1.0,1.0,1.0
42.429208755493164,6_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.28623008728027,6_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.65618324279785,7_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.56796836853027,7_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.81528091430664,8_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
40.3141975402832,8_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
22.631406784057617,9_0,[2],[2],1.0,1.0,1.0
40.83132743835449,9_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.689395904541016,10_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.26803779602051,10_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
24.200916290283203,11_0,[2],[2],1.0,1.0,1.0
43.71762275695801,11_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
40.65346717834473,12_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
40.30156135559082,12_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
40.94338417053223,13_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
22.820711135864258,13_1,[2],[2],1.0,1.0,1.0
41.739463806152344,14_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.94188117980957,14_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.82100296020508,15_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.342735290527344,15_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.345523834228516,16_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.34178161621094,16_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.31054878234863,17_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.85097122192383,17_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.18037223815918,18_0,"[2, 5]","[2, 2]",0.5,0.3333333333333333,2.0
42.10329055786133,18_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.575836181640625,19_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
40.598392486572266,19_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
22.409439086914062,20_0,[2],[2],1.0,1.0,1.0
41.51725769042969,20_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
40.67635536193848,21_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.37897491455078,21_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
43.047428131103516,22_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
22.435903549194336,22_1,[2],[2],1.0,1.0,1.0
41.892051696777344,23_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
40.51780700683594,23_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.69964790344238,24_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.74399375915527,24_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.59688949584961,25_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.65935516357422,25_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.53196716308594,26_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.531490325927734,26_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
61.745405197143555,27_0,"[2, 2, 7]","[2, 2, 2]",0.6666666666666666,0.4,3.0
41.39518737792969,27_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.50669479370117,28_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
23.99587631225586,28_1,[2],[2],1.0,1.0,1.0
41.62192344665527,29_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
40.17019271850586,29_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.03684425354004,30_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.81861877441406,30_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
42.79613494873047,31_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
24.302244186401367,31_1,[2],[2],1.0,1.0,1.0
23.222684860229492,32_0,[2],[2],1.0,1.0,1.0
41.19396209716797,32_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
22.291898727416992,33_0,[2],[2],1.0,1.0,1.0
41.222572326660156,33_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.62168502807617,34_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.980743408203125,34_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
41.87417030334473,35_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
40.283203125,35_1,"[2, 2]","[2, 2]",1.0,1.0,2.0
40.82059860229492,36_0,"[2, 2]","[2, 2]",1.0,1.0,2.0
22.52936363220215,36_1,[2],[2],1.0,1.0,1.0
40.418386459350586,37_0,"[2, 7]","[2, 2]",0.5,0.3333333333333333,2.0
