time,index,pred,label,acc,f1,num_instruments
4367.372274398804,0_0,"[1, 2]","[1, 2]",1.0,1.0,2.0
62.632083892822266,0_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
63.706159591674805,1_0,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
63.62771987915039,1_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
64.30792808532715,2_0,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
62.28327751159668,2_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
64.75186347961426,3_0,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
61.83218955993652,3_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
49.63874816894531,4_0,"[1, 2]","[1, 2]",1.0,1.0,2.0
64.39971923828125,4_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
63.08865547180176,5_0,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
63.2174015045166,5_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
63.263654708862305,6_0,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
62.75177001953125,6_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
64.81266021728516,7_0,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
64.26501274108887,7_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
62.04342842102051,8_0,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
70.48249244689941,8_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
63.74859809875488,9_0,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
62.13569641113281,9_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
45.93205451965332,10_0,"[1, 2]","[1, 2]",1.0,1.0,2.0
45.59063911437988,10_1,"[1, 2]","[1, 2]",1.0,1.0,2.0
46.51951789855957,11_0,"[1, 2]","[1, 2]",1.0,1.0,2.0
65.47832489013672,11_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
46.125173568725586,12_0,"[1, 2]","[1, 2]",1.0,1.0,2.0
65.8113956451416,12_1,"[1, 1, 2]","[1, 1, 2]",1.0,1.0,3.0
