time,index,pred,label,acc,f1,num_instruments
5037.869930267334,0_0,"[1, 1]","[1, 1]",1.0,1.0,2.0
82.63087272644043,0_1,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
86.24458312988281,1_0,"[1, 2]","[1, 1]",0.5,0.3333333333333333,2.0
84.75852012634277,1_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
83.44054222106934,2_0,"[1, 3]","[1, 1]",0.5,0.3333333333333333,2.0
85.39104461669922,2_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
83.36615562438965,3_0,"[1, 8]","[1, 1]",0.5,0.3333333333333333,2.0
82.14211463928223,3_1,"[3, 1]","[1, 1]",0.5,0.3333333333333333,2.0
84.91373062133789,4_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
84.42187309265137,4_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
84.24091339111328,5_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
82.3061466217041,5_1,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
84.16628837585449,6_0,"[1, 1]","[1, 1]",1.0,1.0,2.0
83.61053466796875,6_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
41.79835319519043,7_0,[1],[1],1.0,1.0,1.0
82.75175094604492,7_1,"[1, 2]","[1, 1]",0.5,0.3333333333333333,2.0
87.80860900878906,8_0,"[1, 1]","[1, 1]",1.0,1.0,2.0
42.56701469421387,8_1,[1],[1],1.0,1.0,1.0
84.63573455810547,9_0,"[1, 1]","[1, 1]",1.0,1.0,2.0
81.53390884399414,9_1,"[2, 2]","[1, 1]",0.0,0.0,2.0
86.05432510375977,10_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
82.95655250549316,10_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
84.48314666748047,11_0,"[1, 1]","[1, 1]",1.0,1.0,2.0
84.34700965881348,11_1,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
88.38176727294922,12_0,"[2, 2]","[1, 1]",0.0,0.0,2.0
81.99262619018555,12_1,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
88.05108070373535,13_0,"[1, 1]","[1, 1]",1.0,1.0,2.0
46.662092208862305,13_1,[1],[1],1.0,1.0,1.0
85.23344993591309,14_0,"[1, 1]","[1, 1]",1.0,1.0,2.0
83.87899398803711,14_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
82.60893821716309,15_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
50.11391639709473,15_1,[1],[1],1.0,1.0,1.0
82.71098136901855,16_0,"[1, 2]","[1, 1]",0.5,0.3333333333333333,2.0
85.09588241577148,16_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
85.67285537719727,17_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
82.1380615234375,17_1,"[2, 2]","[1, 1]",0.0,0.0,2.0
82.64398574829102,18_0,"[1, 2]","[1, 1]",0.5,0.3333333333333333,2.0
83.06670188903809,18_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
49.29971694946289,19_0,[1],[1],1.0,1.0,1.0
84.58328247070312,19_1,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
48.82526397705078,20_0,[2],[1],0.0,0.0,1.0
85.34741401672363,20_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
89.98298645019531,21_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
86.49897575378418,21_1,"[1, 3]","[1, 1]",0.5,0.3333333333333333,2.0
48.9957332611084,22_0,[1],[1],1.0,1.0,1.0
81.18319511413574,22_1,"[1, 2]","[1, 1]",0.5,0.3333333333333333,2.0
46.95415496826172,23_0,[1],[1],1.0,1.0,1.0
83.65559577941895,23_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
84.92207527160645,24_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
84.68985557556152,24_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
82.9768180847168,25_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
85.89673042297363,25_1,"[2, 2]","[1, 1]",0.0,0.0,2.0
84.99479293823242,26_0,"[1, 2]","[1, 1]",0.5,0.3333333333333333,2.0
84.15699005126953,26_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
88.22059631347656,27_0,"[1, 1]","[1, 1]",1.0,1.0,2.0
46.21148109436035,27_1,[2],[1],0.0,0.0,1.0
84.85794067382812,28_0,"[1, 1]","[1, 1]",1.0,1.0,2.0
81.04681968688965,28_1,"[1, 2]","[1, 1]",0.5,0.3333333333333333,2.0
83.46366882324219,29_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
90.99555015563965,29_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
84.58137512207031,30_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
84.49888229370117,30_1,"[1, 2]","[1, 1]",0.5,0.3333333333333333,2.0
80.92975616455078,31_0,"[2, 2]","[1, 1]",0.0,0.0,2.0
85.69216728210449,31_1,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
85.6471061706543,32_0,"[1, 3]","[1, 1]",0.5,0.3333333333333333,2.0
85.5712890625,32_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
84.61594581604004,33_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
86.45439147949219,33_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
80.52802085876465,34_0,"[2, 2]","[1, 1]",0.0,0.0,2.0
87.94283866882324,34_1,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
86.48371696472168,35_0,"[2, 1]","[1, 1]",0.5,0.3333333333333333,2.0
86.9588851928711,35_1,"[1, 1]","[1, 1]",1.0,1.0,2.0
88.39678764343262,36_0,"[1, 3]","[1, 1]",0.5,0.3333333333333333,2.0
83.19234848022461,36_1,"[3, 1]","[1, 1]",0.5,0.3333333333333333,2.0
84.76758003234863,37_0,"[1, 1]","[1, 1]",1.0,1.0,2.0
